simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;131895;1000;1000;0;111.281;4.100103638915809;3.6844597360877493;7.581788543917511;0.0;140;105
2;130577;2000;2000;0;109.931;3.001956840535233;2.730764607376657;15.316633097712462;0.0;133;105
3;129562;3000;3000;0;108.75533333333334;2.7469959746088755;2.5258494369093394;23.15493740448588;0.0;130;104
4;129435;4000;4000;0;108.697;2.906166280619933;2.6736398250365077;30.903542318538264;0.0;137;103
5;128896;5000;5000;0;108.0718;2.6800898000380435;2.4799159448052532;38.7909632571996;0.0;133;103
6;128705;6000;6000;0;108.016;2.7029542467968213;2.5023646930055;46.61823549978633;0.0;126;103
7;128483;7000;7000;0;107.55242857142858;2.6457447960239358;2.459958209373973;54.48191589548812;0.0;133;103
8;128204;8000;8000;0;107.3925;2.6557626747175056;2.4729498565705295;62.400549124832295;0.0;140;103
9;129477;9000;9000;0;108.53955555555555;4.472855471971293;4.120945077651326;69.51041497717742;0.0;158;103
10;131075;10000;10000;0;110.0507;6.04051142601594;5.488844165476403;76.29219912263972;0.0;173;103
