time;response time (ms)
10;1040.5526579739217
20;742.5993788819876
30;677.3129445234708
40;674.5227431770469
50;675.8842975206611
60;650.6517615176152
70;658.5853333333333
80;683.886925795053
90;825.5883777239709
100;2382.8613787991103
110;1994.7017921146953
120;1829.9890534449453
130;1830.0596142606662
140;1980.5636875439832
150;1842.501893939394
160;1801.33410271206
170;1852.1056962025316
180;1861.659402241594
190;1867.95148771022
200;1907.63952020202
210;1885.3891719745222
220;1876.1574074074074
230;1844.476131432114
240;1741.8321497740478
250;1923.2804074295987
260;1918.8739811912226
270;1839.7584745762713
280;1947.1497975708503
290;1920.5220994475137
300;1811.6186699206833
310;1812.0109157064887
320;1886.9839142091153
330;1866.1163076923076
340;1872.0377008652658
350;1970.1154094132817
360;1881.7747287811103
370;1982.7021839841166
380;1772.34504391468
390;1969.884925975774
400;651.7228412256268
410;668.76559287183
420;644.8244680851063
430;659.6233243967829
440;655.8475609756098
450;656.0880162491537
460;681.207239176721
470;637.6259640102828
480;691.2510948905109
490;660.2241494329553
500;657.6498293515358
510;664.3177441540578
520;679.7407407407408
530;676.004246284501
540;688.0740213523131
550;638.3519843851659
560;659.5840163934427
570;652.5484311050477
580;651.4847480106101
590;658.7110501029513
600;669.6737783895389
610;648.3697916666666
620;634.5705765407555
630;697.8143063583815
640;658.5606666666666
650;643.7301480484522
660;626.5497808390733
670;640.4036144578313
680;694.7165131112686
690;689.8813559322034
700;667.0064148253742
710;683.1839557399724
720;644.54763491006
730;654.2311827956989
740;651.9150197628459
750;681.7546519641627
760;670.6473149492017
770;689.2850208044383
780;629.4610303830912
790;654.2764705882353
800;659.8131868131868
810;663.1904436860068
820;645.2208387942333
830;639.1571428571428
840;677.9114285714286
850;647.6756944444444
860;669.6314741035857
870;677.4363762102352
880;687.210071942446
890;675.7851182197496
900;705.3436823104693
910;649.1551264980027
920;690.0027835768963
930;685.9241773962804
940;653.0227116311081
950;661.8747461069736
960;661.3047743623283
970;657.2858156028369
980;643.4367666232073
990;655.815668202765
1000;657.6877607788596
1010;656.99043715847
1020;656.361574382922
1030;653.9474384564205
1040;649.6178861788618
1050;666.6034602076124
1060;694.4324702589223
1070;659.5286885245902
1080;637.023855577047
1090;708.8371239911959
1100;646.41926910299
1110;667.6066945606694
1120;666.1018329938901
1130;636.3604126370084
1140;657.818052594172
1150;686.5172413793103
1160;681.7295597484276
1170;1094.2971323978036
1180;1823.5968712394706
1190;1998.5188367481824
1200;1892.950928381963
1210;1877.576129032258
1220;1775.1380407124682
1230;1864.873357228196
1240;1923.6656534954407
1250;1852.4714189643578
1260;1998.0545236668663
1270;1776.0080106809078
1280;1768.2149587750293
1290;1898.7355912061794
1300;1830.8248366013072
1310;1874.7610103626944
1320;1890.248803827751
1330;1867.6082824168363
1340;1830.7623291740938
1350;1806.9045667447306
1360;1884.6785714285713
1370;1774.040455840456
1380;1784.3345367027678
1390;1941.111458985598
1400;1960.3725881570192
1410;1793.4513618677042
1420;1927.7472527472528
1430;1816.557984213722
1440;1870.0695708712615
1450;1945.2627066748316
1460;1962.4922680412371
1470;1537.488458674609
1480;663.062288422478
1490;630.8665338645418
1500;690.474740484429
1510;664.4809264305177
1520;657.7635869565217
1530;682.8411680911681
1540;675.051510989011
1550;662.5249326145553
1560;638.2871157619359
1570;685.4042995839112
1580;640.056527590848
1590;662.1350984385608
1600;645.6571428571428
1610;653.6826347305389
1620;650.6456692913385
1630;664.3414965986394
1640;613.8
1650;662.0241773002015
1660;631.1501597444089
1670;648.5230263157895
1680;677.9632034632035
1690;642.5281643472498
1700;688.3907734056987
1710;661.8525280898876
1720;676.7016574585635
1730;666.8643724696357
1740;646.8440111420613
1750;679.318771331058
1760;663.5003431708991
1770;673.2991040661612
1780;649.1870794078062
1790;667.510752688172
1800;668.9456981664316
1810;677.8243055555556
1820;654.0820013898541
1830;680.8142372881356
1840;645.8600543478261
1850;639.9002624671916
1860;662.114247311828
1870;646.147465437788
1880;659.3689655172413
1890;658.8304289544236
1900;646.851655629139
1910;648.9979137691238
1920;675.7542778918549
1930;648.3540983606557
1940;686.4335465529496
1950;675.252538930264
1960;657.6637047163363
1970;676.5398729710656
1980;671.2674173117523
1990;687.9885521885521
2000;678.5990133897111
2010;657.4982480728802
2020;675.1478921907394
2030;678.2574808629089
2040;657.9159779614325
2050;653.0868421052631
2060;673.3492919757249
2070;655.7867595818815
2080;701.7046931407942
2090;664.8310626702997
2100;660.0922362309224
2110;668.5319001386963
2120;649.0006565988181
2130;641.4827352742045
2140;664.2919508867667
2150;679.7424863387978
2160;661.2098591549296
2170;636.6182410423453
2180;691.1185964912281
2190;651.5152317880795
2200;651.6316141995982
2210;664.1149897330596
2220;682.1365820178448
2230;699.0264123257521
2240;710.954897815363
2250;1486.0336943441637
2260;1907.8997175141244
2270;1924.6457627118643
2280;1813.0325520833333
2290;1885.1028938906752
2300;1941.6839005235602
2310;1960.508956145769
2320;1851.160598179454
2330;1849.1772920461444
2340;1843.8034793814434
2350;1965.1930894308944
2360;1946.525921299188
2370;1813.387667887668
2380;1938.2950268817203
2390;1987.0062073246431
2400;1378.7425742574258
2410;1250.646458200383
2420;1299.1540983606558
2430;1271.009067357513
2440;1283.9312581063555
2450;1272.4909318323953
2460;1196.0273711012094
2470;1319.8
2480;1308.4420572916667
2490;1237.8454545454545
2500;1280.1
2510;1309.3100558659219
2520;1265.0350541746336
2530;1250.2654654654655
2540;1245.0814863102999
