simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;163515;20000;20000;0;0;151.54245;29.121411381104796;19.216669244231433;122.31293765098003;0.0;274;102
40;246328;40000;40000;0;0;232.4132;95.56281218150083;41.11763539312777;162.385112532883;0.0;745;102
60;288770;60000;60000;0;0;274.5754166666667;131.40850790160252;47.858803055603424;207.77781625515115;0.0;1639;102
80;366464;80000;80000;0;0;348.5755375;173.25427096356438;49.70350822841789;218.30247991617185;0.0;1968;102
100;443827;100000;100000;0;0;426.23581;239.2746148404736;56.136675808743895;225.31301610762753;0.0;4150;102
20;162832;20000;20000;0;0;151.37705;29.198164496043187;19.288369337388453;122.8259801513216;0.0;305;100
40;246162;40000;40000;0;0;232.64735;95.26680314816939;40.94901710600589;162.49461736579977;0.0;1501;102
60;292848;60000;60000;0;0;275.7962;130.50795290322165;47.320431863536065;204.88444517292248;0.0;1547;100
80;365158;80000;80000;0;0;347.4369125;173.69989670590994;49.99465815420805;219.0832461564583;0.0;1930;102
100;451672;100000;100000;0;0;433.64978;254.5205675247966;58.69265459440487;221.39959970952373;0.0;4001;103
